Номер,Слово,Встречаемость
1,мцыри,11
2,вкушая,1
3,вкусих,1
4,мало,2
5,меда,1
6,и,225
7,се,1
8,аз,1
9,умираю,1
10,-я,1
11,книга,1
12,царств,1
13,немного,1
14,лет,4
15,тому,2
16,назад,2
17,там,6
18,где,12
19,сливаяся,1
20,шумят,1
21,обнявшись,2
22,будто,11
23,две,4
24,сестры,1
25,струи,1
26,арагвы,1
27,куры,1
28,был,30
29,монастырь,2
30,из-за,2
31,горы,4
32,нынче,2
33,видит,1
34,пешеход,1
35,столбы,1
36,обрушенных,1
37,ворот,1
38,башни,2
39,церковный,1
40,свод,2
41,но,36
42,не,47
43,курится,1
44,уж,5
45,под,4
46,ним,6
47,кадильниц,1
48,благовонный,1
49,дым,1
50,слышно,1
51,пенье,1
52,в,112
53,поздний,1
54,час,7
55,молящих,1
56,иноков,1
57,за,14
58,нас,1
59,теперь,5
60,один,3
61,старик,5
62,седой,2
63,развалин,1
64,страж,1
65,полуживой,1
66,людьми,1
67,смертию,2
68,забыт,1
69,сметает,1
70,пыль,1
71,с,36
72,могильных,1
73,плит,2
74,которых,1
75,надпись,1
76,говорит,2
77,о,12
78,славе,1
79,прошлой,1
80,том,4
81,как,45
82,удручен,1
83,своим,1
84,венцом,3
85,такой-то,2
86,царь,2
87,год,1
88,вручал,1
89,россии,2
90,свой,3
91,народ,1
92,божья,1
93,благодать,1
94,сошла,1
95,на,42
96,грузию,2
97,она,11
98,цвела,1
99,тех,3
100,пор,1
101,тени,5
102,своих,2
103,садов,1
104,опасаяся,1
105,врагов,1
106,гранью,1
107,дружеских,2
108,штыков,1
109,однажды,2
110,русский,1
111,генерал,2
112,из,17
113,гор,3
114,к,22
115,тифлису,1
116,проезжал,1
117,ребенка,1
118,пленного,1
119,он,38
120,вез,2
121,тот,7
122,занемог,1
123,перенес,2
124,трудов,1
125,далекого,1
126,пути,2
127,казалось,6
128,шести,1
129,серна,1
130,пуглив,1
131,дик,2
132,слаб,3
133,гибок,1
134,тростник,1
135,нем,5
136,мучительный,1
137,недуг,1
138,развил,1
139,тогда,8
140,могучий,4
141,дух,6
142,его,17
143,отцов,2
144,без,7
145,жалоб,1
146,томился,2
147,даже,2
148,слабый,2
149,стон,2
150,детских,2
151,губ,1
152,вылетал,1
153,знаком,2
154,пищу,1
155,отвергал,1
156,тихо,3
157,гордо,2
158,умирал,2
159,жалости,2
160,монах,3
161,больного,1
162,призрел,1
163,стенах,2
164,хранительных,1
165,остался,2
166,искусством,1
167,дружеским,1
168,спасен,1
169,чужд,2
170,ребяческих,1
171,утех,1
172,сначала,1
173,бегал,1
174,от,9
175,всех,3
176,бродил,1
177,безмолвен,1
178,одинок,3
179,смотрел,1
180,вздыхая,1
181,восток,2
182,томим,1
183,неясною,1
184,тоской,5
185,по,12
186,стороне,1
187,своей,5
188,родной,4
189,после,1
190,плену,2
191,привык,2
192,стал,9
193,понимать,1
194,чужой,4
195,язык,4
196,окрещен,1
197,святым,1
198,отцом,1
199,шумным,1
200,светом,1
201,незнаком,1
202,уже,2
203,хотел,4
204,во,8
205,цвете,2
206,изречь,1
207,монашеский,1
208,обет,1
209,вдруг,9
210,исчез,3
211,осенней,1
212,ночью,1
213,темный,2
214,лес,6
215,тянулся,2
216,горам,1
217,кругом,7
218,три,1
219,дня,3
220,все,2
221,поиски,1
222,напрасны,1
223,были,2
224,потом,7
225,степи,2
226,чувств,1
227,нашли,1
228,вновь,5
229,обитель,1
230,принесли,1
231,страшно,3
232,бледен,2
233,худ,1
234,долгий,1
235,труд,1
236,болезнь,3
237,иль,4
238,голод,1
239,испытал,1
240,допрос,1
241,отвечал,1
242,каждым,1
243,днем,1
244,приметно,1
245,вял,1
246,близок,2
247,конец,1
248,пришел,2
249,нему,2
250,чернец,1
251,увещеваньем,1
252,мольбой,1
253,выслушав,1
254,больной,1
255,привстал,1
256,собрав,2
257,остаток,2
258,сил,4
259,долго,9
260,так,14
261,говорил,3
262,ты,16
263,слушать,1
264,исповедь,1
265,мою,8
266,сюда,1
267,благодарю,1
268,вс,13
269,лучше,1
270,перед,3
271,кем-нибудь,1
272,словами,2
273,облегчить,1
274,мне,41
275,грудь,10
276,людям,1
